commentText,Label
Rahul Rahul Rahul fool,0
Mental h ky ye,0
Only  modi  ji  ayege,0
"JIO ka data aur Sonia ka beta desh ko unlimited manoranjan dene se piche nahi hatte.... 






",0
rahul will win this time,1
Sabse zyada corruption ko Congress ne banaya h.haha,0
Oh my God look who is saying,0
Rahul gandhi jee again,1
Family first no compromise for Congress party. Nation first no compromise for Modi,0
Rahul fool,0
modi again,0
I thought pakistan parliament was joke but India is not any better in fact more comedy,0
Rahul Gandhi is gud heart person but not gud politicianðŸ‘,1
Sala rahul Gandhi cheap,0
good Rahul,1
Rahul Gandhi ka video funny videos likhne se hi milta h parliament videos likhne se nhi ðŸ˜‚ðŸ˜‚,0
Jai jai jai jai jai Modi,0
for sure rahul gandhi might have watched munna bhai MBBS movie on the previous day of Parliament Session,0
he doesn’t know what he is speaking,0
Mja aagya Rahul isko comedy krni chahiye rajniti chodkr,0
Lakshya humara modi dobara.. Modi again,0
Modi zindabaad!,0
Hahahahahaha........,0
With love PM could have bestowed a slap right on his face....:),0
Rahul Gandhi pm 2019,1
Modi ji is so cute,0
Rahul is better than Modi,1
Congress,1
"Rahul , at his greatest. Too Good !!!!!!",1
Look and address national issues instead of criticizing each other.,1
But papu is best man,1
Thanks,1
we want both the parties to b one ....we dont want political fights,1
Rahul comedy shows ,0
Bjp ,0
Rahul great,1
Nice comedy Rahul,0
If Sashi Tharoor would be President of Congress then congress might be win,1
I m with NAMO.,0
"Modi a great man, a real lion.",0
Rahul is best .,1
Rahul seriously u are fool yaar,0
idiot admi,0
Congress president ,1
Rahul jindabad ,1
are yr Indian Parliament kitna comedian h,0
Mohanraj jadhav,1
Modi ji savage,0
I feel bad for parliament pehle itne respected log baithte the is jagah pe aur ab ye log discipline raha hi nahi hai,0
poor rahul,0
Bharat mata ki jay modi modi only modi congress mukt bharat chahiye âœŠ,0
Modi ko htao congress ko lao,1
why modi doest support to muslims,1
Modi nahi chahiye koi or party honi chahiye ye sari party thief h,1
How did Namo spot the eye  blink...Namo DRS.,0
Agar mujhe entertainment Chahiye hota h to me to parliament ki videos Dekh leta hnðŸ˜‚ðŸ˜‚,0
"Rahul itli ka product hay.   E paida se heee bevkuf hay. Aur rahegaaa, log  iska speech to stand up comedian jaise hee   swikar karte.",0
Bjp again,0
a joke is ..from him is.....today morng i got up at night..so funny,0
Rahul Gandhi zindabad,1
Modi You Rock... We are lucky to have such a great PM,0
His wink is more killer than priya prakash varierðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
Rahul nice nice nice nice,1
Bjp communal party,0
Indian national congress,1
my vote for Congress,1
Full none stop entertainment,0
mean modi.,1
I think Rahul GANDHI wink is awesome,1
"THIS IS INDIAN NATIONAL CONGRESS !! No war and hate all religion all humans are same, ONLY PEACE and LOVE ! Wat a gr8 message !""",1
Modi is back in 2019,0
what a respond sir ji,1
Congresses is great,1
"BJP government has big full mouth only and they can easily influence others with their talk and full of ordinary story teller type BJP. But Congress I alway amazed to see that they can't over rule their speech well, when it comes to debate. But my support always goes with Congress, because of their thoughts and walk for better picture.",1
Modi ke chamche Ko mere tarf se bhaut Sara pyaar,1
modi is great jai hind,0
Madi hatao.d esh bachao,1
Rahul gandhi is my  best commedian.,0
How on earth a land like India that is known around the world to make some of the best leaders on her nation give place to a looney toons creature like rahul gandhi? I mean look at all the great leaders India ever had and then see this guy. My word. I always looked up to the leaders She ever had but this junior is a stupid one. I am not even an Indian and still see how foolish rahul is.,0
Jai ho modi ji,0
Ha tu Rahul hai..,0
Jai rahul,1
The way Modi insults Rahul Gandhi is the same way best friends insults each other ðŸ˜,1
Chaahey kissie ney lok sabha kee maryaada koo dhaav perr lagga kerr Rahul Gandhi koo tamaasha banna dia lekin uss swaal kaa jawaab nahie milla joo Hindustan kee janta Rahul Gandhi key maadhyam sey desh key PM sey jaan naa chaahtie hai,1
Raul Gandhi is a former member,1
"Whatever he was high on, sounds lit stuff",1
Ye parliament hai ya comedy circus,0
Rahul gandhi jindabad,1
"Rahul Gandhi is a buffoon, he probably has an IQ of a chimpanzee",0
"har har modi,,,hmsa raho hmre ghar modi....hmre desh ke saan h modi...i always support modi",0
Abki bar rahul ki sarkar,1
Oh God.... How can u kill someone like this modiji  ,0
His wink killed the whole effort of the writers,1
Rahul. Ha ha ha ha,0
Modi ji we loves you,0
only Congress,1
Modi ki jai ho,0
fool Rahul Gandhi,0
Smart boy rahul ji.....,1
Modi ji awesome .,0
thief hai modi,1
& congress still wants Rahul & his fly to rule india,0
Rahul probably the biggest fool in indian politics,0
"Rahul is the most entertaining character in the parliament! Best part is, he knew he is Rahul and he accept that.
I just like him as standup comedian.",0
smart boy rahul ji.....,1
"every politician talk about modi ,but modi talk about country",0
Gali gali m shor h Rahul  thief haðŸ˜‚,1
king rahul,1
#He is pm r comedians....  I support Rahul,1
rahulji..love youu...,1
Papuuuu love you,1
Agar Rahul gandhi sabha main hote h toh bahut time pass hota h boring nhi hote,1
Modi,0
No one can ignore the role of the Nehru-Gandhi family in the making of modern India ! It is the first family of the Indian State...,1
This is truly entertaining..,0
Rahul Gandhi is useless and hopeless so are his supporters...God and modi save our country,0
Modi modi modi modi modi modi modi,0
Namo modi,0
Har har modi â¤,0
Rahul takes drugs b4 coming to parliament??,0
Modi modi Har Har modi,0
Modi g jindabad,0
I never thought our Pm would be so light minded ....like some street boys bargaining with shop keeper. That's shows how disrespectful he is . He is enjoying his stay now he don't really care for your country. Hai hind. ðŸ˜ðŸ˜ðŸ˜ keep it up old man politic country .,1
yes you are Rahul.... modi lion,0
"Haha,, Modi is the real comedian",1
My voice for  bjp,0
Modi is the king.....,0
cartoon modi OK,1
Rahul is best,1
Modiji is the best <3,1
Ache din aiye ki nhi petrol ka rate badha ki nhi aur gas ka bhi aur GST laga ki nhi mitroo aur sab line me laga ki nhi apna khud ka paisa lena k liya aur my modi all country ghuma ki nhi aur kitna ache din hona bahiyo bahenoðŸ¤£ðŸ¤£,1
"Modi is the best...the best...
Rahuluu",0
I support rahul gandhi,1
I just want to say,1
Rahul,1
Next pm is Ragul Gandhi,1
Mera vote desh ko rohangiya supporter ko nhi ...jai modi,0
Cool dhoni and cool rahul,1
Jai Modiji ,0
only modi g,0
Matka phor diya bazar mein Modi ne ‚  salute to you modiji,0
Modi ji is just revolutionary..,0
"I felt sad for Rahul....he looks like an innocent child
Modiji- Ankhon ka Khel, thug life",1
modhi ji is dreat,0
and he wants to become PM.. Lol rahul,0
Papu flop.....‚,0
"0:58 Rahul Gandhi : ""Modiji I don't feel so good.""",1
"Modi ji I am from Andra pradesh
Please save my state by giving special status
Please don't believe cheater CBN.
What ever u given money to my state 
All MP and CM eaten that money
When u want give money to my state please add some more  money to that as a commission to CM, MLA, Mp

After filling their tummies they will go for development next

Please this is my humble request 
Don't take my words as comedy,  these words are come from heart with frustration on Cheater CM of Andhrapradshc",0
Main Rahul huXD,0
"I hate rahul Gandhi and Congress..
But this gesture of rahul has surprised me and gained my respect âœŠ",1
Rahul Gandhi is just like a kid.,0
I scream Modi zi modi zi,0
"ŒLove you RaGa. Welcome my PM, take us back to greatness",1
Baap baap hota h ## Rahul,0
When Guys didn't get Girl,0
thief congress,0
Eee Rahul,0
What rahul said was right...modis forefather sree. Savarkar started sucking white dicks when they were in jail and thats the reason y most of the northies are having fair skin complexion ........ha ha ..modi remember 2002 ryt #ripmodi #quitindia,1
Modi hatao bjp hatao bloody goons rapist,1
Narendra modi is the best prime minister everðŸ™,0
Rahul thief Gandhi from thief Gandhi family ka murkh buddhi. ,0
"rahul dont knw perfctly politics as i can feel he is good by nature nd heart touchy man ....... no jealous ... see how modi react on iT ....... making Joke of hiM ...... 

yes rahul has not enougj knwldge so wht the people comment here do knws politics ??? if not then dont write fucky comnts .........",1
modi haters are going to be dissolved in Rahul mutra by 2019,0
thief modi,1
congress thief hi,0
Kya drama h ye..why dont they behave in a civilised manner..modi is way too elder he must show some maturity,1
Rahul Is the best Joker of Bharat...‚,0
Rahul is a deserving candidate for pm above modi.. I tell you guys.. Modi is worst,1
vote for modi ji luv u ,0
Modi hatao desh bachao,1
Congress is bent I love ghandi family,1
Rahul sir ki smile too good,1
Legends say till date Nirmala Ji trying to say something.,1
all doors for congress will close soon,0
Iove u modi ji,0
Rahul gandhi fraud hai jinko lagta hai like kare,0
I have a request to all the muslims.... Just tell me an explaind reason why u hate modiji?,0
"Saale ko bolte hue sharam nahi aayi congress ne desh ko banaya hai , netaji subhash chandra bose ne iss desh ko banaya hai , aur abhi ki Armed forces ne iss desh ko 4 baar jung jitaya hai , iss desh ke logon ne iss desh ko banaya hai",1
Modi is the Indian version of Trump,1
Modi is a joke,1
"Why modi told not only you even crore of desh wasi cannot make him to get up from his chair , 
Yes deshvasi can make him to getup from his chair because only the reason he is sitting on that chair is people, so if we didnâ€™t vote for him he would not even sit on that chair ðŸ˜‚

Peopleâ€™s Please answer my this question ..
I learned that real leader is the servant of the people is that right??",1
nice guy rahul....like u…,1
aab india aage badhe gi...,1
Isss modi kutty aur idiot ko kis ne PM banaya kya hohaya hai logo ko unko dikh nhi raha hai ye 8th class fail hai,1
Shame on modi for insulting rahul for hugging him,1
Shame...,0
Modi like,0
Modi hataao desh bachaao,1
"Bar Bar NaMo
Har Bar NaMo",0
Modi thought ye marne kyun aa raha hai,0
Bjp  loss  in  5 state that's  a very  good  news  ,1
fucking modi,1
Sir Modi ....the boss....,0
It's funny. Congress has a laughing gas. Our Prime Minister is very patient.,0
Why the hell is moding behaving like a child?? He didn't say a word in a conference with putin that's what a real presiden is like (putin).,1
Bastard rahul,0
Joker of gandhi family‚,0
"Rahul is not genuinely hugging,see his every moment after hugging Narendra modi ji...his face has changed after Narendra modi calls him and shakes hand. So bitchy people",1
Dumbest son of a bitch Rahul gandhi,0
Rahul fool,0
BJP is best Narendra Modi Jai Hind,0
Next PM will be Rahul ðŸ‘,1
chokhidar thief he,1
Joker of the country ,0
Rahul is an idiot..,0
Rahu is best,1
"This lunatic,immature fellow does not know as to how to gesture in parliament By winking, he has made a big fool.if himself.He looks like an eunuch.Something is terribly wrong with him. But for being a Gandhi scion, he would have been.in roads today.By virtue of the punya accumulated.from. previous birth, he is enjoying.",0
Modi really joker,1
Indian parliament can be made into a Netflix series!!,1
Excellent Sirji Modi for 2019.,0
cheap he Rahul,0
Useless pm !!,1
Jai modi,0
"Modi modi modi modi modi nodi 
love u ",0
"Why Netflix fail in India, because of these things ",0
Pardhanmantri hain ya notanki ,0
Inspired by Naruto ,1
he is one of the fine actor in india,1
Rahul GANDHI will become prime minister,1
ðŸ˜‚ðŸ˜‚,1
"Suppose your an idiot, and suppose your a member of Congress; but I repeat myself.",1
 dancer  comedy ,1
We love Rahul Gandhi ðŸ¥°,1
"Just imagine Rahul become pm of India ,visit a foreign nation and foreign leader says 'oh sorry,I forget ur name .thank God I can recall ,Hello mr. pm Rahul'.
Then what people who lick his ass will do ?ðŸ¤£ðŸ¤£",0
I don't think rahul is villainous... Although his party definitely is...,1
We promoted a troll to PM's Chair,1
Congress htao desh bachao,0
You rahul cant win against modi ji in any stream,0
Rahul Gandhi need to be in asylum,0
Nonsense Rahul Gandhi,0
Galti se bhi Rahul ko PM mat banana,0
Rahul fool,0
Lol,0
Damn even the speaker was laughing such a cartoon character ðŸ˜‚ðŸ˜‚ðŸ˜‚our Rahul,0
Rahul Gandhi Ko sach me comedy me barti hona chahiye hai,0
Modi is going to win next election also,0
Modi ji hero,0
bjp best,0
"Give a love sticker for Rahul and laughing sticker for modi 
Reply to my comment friends let see who will be our next pm",1
Rahul,0
saal modi thief,1
Rahula idiot,0
Lol. Does Rahul know which side of the camp he is in. Papppoo Pappoo.,0
"BJP CONGRESS. ALL PARTIES IN INDIA. ðŸ‘Ž
THIS KALYUGA NEEDS TO END SOON. AND SOON SHOULD COME THE SATYUGA. ONLY THE ALMIGHTY WILL BE IN CONTROL.",0
modi thief,1
only rahul,1
Gujarat ka Sher Rahul Gandhi sir is,1
"Oh, so this is supposed to be the Indian Sansadh",1
"I personally like RaGa, he has the ryt attitude to hold the PMO",1
Modi  is back,0
Give our nation to  PM Modi Ji in this 2019 election .,0
Wow,1
Thanku rahul,1
good ,1
Jal rahul,1
ðŸ–•ðŸ»ðŸ–•ðŸ»of you modi !,0
Modi is a menace !!!,1
Modi is thief,1
"whom you are laughing at? on youself? its not a comedy show, its largest democratic temple, this is the level of debate #shame, is se achhe debate to pan ki dukan pe ho jatii hai.
making fun in lok sabha, or commenting personally wont help you people, i don't know how they dare to disrespect parliament. these fools are making your lifes decision and you guys are justing laughing at it.
bro, we need some intellectual person in our parliament who can really support to run our country, not for just there fun. I am always worried that such people are making rules of your life who don't have even sense of what does parliament. I am talking about every such politician not him. people be careful while voting, and try to raise your voice where ever needed, it is them who is regulating your life like what you should do or what not. vote intellectual persons whom you can believe. Its not only about Modi, everyone should be like Modi too, dont get into modi or gandhi debate, make wise decision, whom do you like to give your ownership. #GrandElection2019",1
Modiii jealous,1
Modi thief,1
"Rahul Gandhi s fore father jwaharlal nehru, described netaji subhas as war criminal and wrote to clement attlee,  the then British PM to arrest him..... Rahul Gandhi is carrying that gene,  what more he can think...... that particular genetic line has to irradicated from India",1
Rahulmania,0
#rahul best,1
Feku kaam thief modi,1
Amazing,1
"Our India,although destined to achieve great things,can NEVER achieve them, till ""THESE"" sort of illiterate ""NETAS"" lead us!!We need someone like a 'Barack Obama' to lead us!!! A young, practical, forward looking and ""NIDAR"" leader who takes India to greater heights and leads us FROM THE FRONT!! But the problem is ""POLITICS in India has such an 'IMAGE' that CAPABLE youngsters do not enter into it""!#uselessPolitians#illiterate#impractical!!!!!!#greedy!!",1
Wah Wah Modiji kya bat ha,0
Rohal g Nahi ban sakata ha is bar pm,0
"Oske questions ka jabaab do PM, joker mat bano. Aur sare desh ko v jabaaw chiye na ke PM ki nutanki.",1
Parliament is more Entertaining than kapil sharma show ðŸ˜‚,0
NAMO supporters,0
all politicans are assholes ... modi is no different .,0
Rahul is a joke,0
Modi..is..bettr..actor...than..rahul..haha,1
Italy dog Rahul get out ,0
Politicians gone madi,0
My modi ji is lion,0
Jai bjp,0
Congress thief hai congress party thief hai,0
Jai modi ji har baar modi ji,0
Agar Congress ne desh ko banaya hai to freedom fighters ne kya kiya hai....,0
"MODI BHAGAO, YOGI LAO",1
â™¥ï¸ðŸ‡®ðŸ‡³ = BJP,1
Modi is worst !!,1
Rahul lion,1
Savage Modiji jo bhi bolega ki modi hatao wo khud hi hat jaaye aisi prarthana ðŸ˜‚,0
Indian politics are very entertaining than cinemas,0
This is very low Modiji,1
NamoðŸ”¥,0
Rahul cant speak sala..,0
Modi is good pm well knowledged pm after kamarajar he is uneducated but knowledged politician,0
Rahul will remain Rahul,0
I want meet with you Rahul gandhi ji,1
2.1k Rahul Gandhi fans,1
Half Italian half goat (feroz Khan) what do you expect him to be like?,0
Rahul is biggest fool,1
Lots of Bhakts.,0
Modi jindabad,0
Pathetic shameful behavior by Rahul,0
Rahul ,0
cores supar Rahul gandi hero,1
Modi has no dignity of being a pm,1
Savage modiðŸ˜‚,0
Congress parti jindabad rahul gandhi jindabad,1
"Modi has failed to improve anything in our country except for building good foreign relations
But most ppl in India r uneducated..they fall for his publicity stunts
But Rahul is no better so now our future is finished",1
Rahul jie achha,1
Finaly excepted ..he is tha papu.,0
Dunia Ka sabse bada thief ðŸ˜  to Modi hai,1
Vase itni bejti sehna asan nhi h ðŸ˜‚ðŸ¤£,1
Rahul Rockzz Modi Shockzz ðŸ˜‚ðŸ˜‚,1
unprofessional pm of india modi like a illiterate person,0
only great leader modiji,0
Rahul is a champ,1
The great leader rahul gandhi,1
Rahul acha joke kar leta tu poltics thief kar show chalo .,0
Rahul s learning fast.,1
modi joker he,1
Superb modi jiðŸ˜‚ðŸ˜‚,0
Modi hatao desh bachao,1
Next pm rahul gandhi ðŸ¤˜ðŸ¤˜,1
Congress ,1
AAP jaaoge Modi ji 2019 Mai chai Bechane…,1
Modi hataw des basaw.,1
Only one question..why modi ji doesnt come infront of media? Afraid?,1
â˜ºModiji V mst Comedy krte h Rahul ka asar h yeâ˜º,1
modi fake hai,1
yaar agar yeh Rahul PM bann gaya mein to Yuganda Shift ho jaunga permanently....,0
Rahul for prime minister of Pakistan,0
modi fake hai,1
Modi ji Rajasthan MP mijrom 36 garh me to  aapne dekh hi liya or aage bi dekhna y Rahul kya Kya karta h,1
Savage,1
Rahul ke baare me bura bolne se pahle ye poora video Zaroor dekhlo https://youtu.be/rJjra9pFUKo,1
"petrol congress 50 rs
           modi 80 rs
ges congress 350

      modi 1000
lootri bjp saale ",1
congress zindbad,1
Jai jai namo ðŸ™ðŸ™,0
Jai Hind modi sir..... Bilkul sahe bole ap ðŸ˜ðŸ˜ðŸ˜ðŸ˜,0
Rahul comedian,0
Wow what a shit show and people still think these guys are gonna make us a superpower. Not a good time to be a proud Indian and it never has been for the last 70 years,0
#ModiHataoDeshBachao...,1
Modi s just deceiving whole india,1
Tit for tat,1
Mr. Modi bde wo log nhi hote jo dusro ki chhoti chhoti galtiyo or nadaniyo ka mjak udaye or un pr hnse ....jo sch me bde hote h ....jaise ki aap kehte ho ku aap tpsvi ho ....to tpsvi aise nhi hote ...wo njrandaj krte h aisi baato ko .....khair mr gandhi to h hi 50 years kid.......but mr. Pm we don't expect that from you......no bjp ........only public,1
"Modi is superior than all . He is the best one , only one the best",0
I think Rahul rules the country for sure . It's not Rahul's greatness but it is due to worst ruling of bjp. I hate modi he didn't do anything for the country. Nothing but a statue. Saying that he is promoting tourism. They are so many beggars lying on the road on the way to parliament in Delhi. Nothing has been changed until now. At least you can afford them some sort of shelter with the money you have invested and wasted on stupid things. I hate you.,1
"Mudi ji, we'll talk after 2019 elections.
The state elections must have taught you something.",1
"2019 elections will not only decide India's future but the the future of the World!! 
Vote for congress",1
Abey Tu MODI Aram kar.... .. seat thiefde...... RAHUL KO DEDE,1
Rahul the 2019 pm of India.,1
Modi  overacting sala,1
‚The Narendra Modi Show,0
rahul next pm,1
Rahul ji will be next prime minister of india,1
Modi,0
Rahul fool,0
Modi,0
Modi is always speak negative about rahulje n congress not good quality.. He is good human being Wht wrong in that... Good hug... I appreciate rahulje as good leader quality.,1
It is necessary rahulje next pm of india guarantee,1
greate modi,0
modi is great,0
great modi jai hindustan ðŸ’ªðŸ’ªðŸ’ªðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³,0
âœ‹ðŸ‘Œ Congress best,1
BJP is only focusing on changing historical names and not concern about our economy remember that .,1
Pappu great ban gaya,1
3rd class Modi ,1
fraud Modi,1
Modi hatao Desh basao,1
Rahul ji zindhabad,1
Modi fake,1
the real leader ....,1
Rahul Gandhi legend,1
Congress has nade country ,1
Rahul gandhi ji ðŸ‘,1
Jai Rahul Gandhi ..,1
Modi ji is sooo damn cool ðŸ˜‚ðŸ˜‚,1
Rahul Gandhi to be a pm 2019 surely.. Ye log mazaq hi urhate reh jaynge.. History shall be created,1
rahul gandi next pm of india,1
Rahul geeeeeeee,1
Only nonsense behave like this. Rahul ji prove it that how Polish he and his party is.,1
Modi ji the savage king ðŸ‘‘,0
Rahul Gandhi is great,1
Don't forget that pm modi is one of the most powerful and famous leaders in the world.ðŸ˜Žanyone will choose bjp over other parties and modi over pa##ðŸ˜‚ðŸ˜‚,0
Yeh fake hai rahul,0
Wa yee sach main yeh to fool hai hahahahahðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€,0
sawa sow crore janta Modiji ko vote denge aur dete rahenge aakhri saas tak âœŠâœŠâœŠâœŠ jai hind  Modiji again,0
rahul fool to ho hi isme koi Shak nahi hai,0
rahul is my favorite cartoon character,0
Rahul can't touch PM without permission illegaly ....he proved once again he is fool,0
Comedy rahul,0
#BJP Zindabad,0
Rahul Gandhi for prime minister. He is better than bjp,1
One day rahul gandhi get power definetly uss din india bhot aage jaega becoz he is new generation,1
Jai modii,0
Modi ji you should spread love,0
Rahul fool,0
fraud congress,0
Congress zindabad,1
Modi government is fake ,1
"Modi is the best political personality i ever saw compare tpo any leader of the world, just look at him and his speeches and his taunts. Man thats next level presense of mind.",0
good going  Modi Sir...Pappu ki Band Bajade..ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜‚ðŸ¤£ðŸ˜ðŸ‘†,0
Fantastic modi,0
Parliament is more entertaining then Netflix,0
Rahul is still immature. ðŸ˜‚ðŸ˜‚ðŸ¤£ðŸ¤£,0
"Lekin ek bat samajh lijiye bahart me ESI sarkar dobara nahi aana chahiye jo Hindu aur Muslims Ko aapas me dusman bana de hame ab esi sarkar chahiye jo Vikas development ka agenda sath lekar chale logo me dusmani karne ka nahi,ESI sarkar jo Desh ke liye kadam uthane ki himmat rakhta ho ,chahe vo itna asar dikhaye na dikhaye Lekin kadam badhaye jayenge tabhi Desh manjil tak pahunchega ,log bhi apana yogdan den.",1
Rahul is great,1
congress zindabad,1
Like for Rahul gandhi,1
"Its not bjp vs congress, its going to be BJP vs third front",0
"Vote for BJP in 2019
Jai Modi sarkar",0
"Modi is nothing in front of Rahul Gandhi ... Full support for Rahul Gandhi...
Love Congress.ðŸ˜",1
Modiji great,0
 congress zindabad,1
Modi thief hai,1
modi zindabad,0
Rahul is great,1
Papu fool,0
Modi is Awesome,0
Yaar kuch bhi bola modi mast leta hain Rahul ki haha,0
modi thief rafale thief... pm pad ki garima nahi rakh pata hai modi... aisa pm hota hai kya... desh ka 2 nagrik hota hai,1
Modi overact,1
Very clear difference between educated and uneducated,1
282 members are more than enough to make fun of 48 ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
I love rahul ,1
Next pm rahul sir,1
"Press Media Film IAS IPS Magnify whatever Rajiv Gandhi did when he alive till ASSASSINATION

now Press Media Film IAS IPS Magnify against Rahul Gandhi? but even MKSTALIN KALANITHIMARAN does ORGANIZED MURDER/Bio weapons against King Charles/Murder entire INDIAN PRESS MEDIA FILM MUTE",1
Rahul fake politicians,0
Rahul Gandhi saala bhot bada foolHai.. ,0
Modi...Rocks,0
"Na koi tufan na koi aandhi , Congress ko barbad karega akela Rahul Gandhi.....ðŸ˜ðŸ˜ðŸ˜‚ Best stand up comedian in Asia politics",0
Jai modi,0
please vote for congress,1
he is such an idiot .chheee,0
PM is fool,1
modiji rockzzz,0
Pappu fool,0
Nice Rahul,1
This immetured man wants become India prime minister... If he is the prime minister think about India future and last 10 years congress ruled India .. full corruption and terrorism ex taz hotel Kasab but these days bjp ruling terrorist's also feared to enter in India because of modi ummmmmmaaaaaaaaaaaaaaaaa...love you modi ji,0
Pure fake cogress,0
"Yes desh ke janata hi tumko hatayengeeee...
50 din maangi thi abh 5 saal hone waale hai..
Na black money waapas aayi,
Na 15 lakh milaa
Na rojgari mileee
Na Pakistan ko jawaab dee
Na petrol deisel ki daam kam huee
Na daal ki daam
Desh ke nau jawaan khaalee pakode bejne keliyee nahee bhaitaa hai _hootiyom",1
Nothung has changesd in last 5 year,1
abe pm hoke esi hrkte krta he shrm krle kitna gir gya,1
à¤­à¤¾à¤µà¤¨à¤¾ à¤”à¤° à¤ªà¥à¤¯à¤¾à¤° à¤œà¤¬ à¤…à¤‚à¤¦à¤° à¤¸à¥‡ à¤¨à¤¿à¤•à¤² à¤œà¤¾à¤à¤—à¥€ à¤¤à¥Š à¤¨à¥žà¤°à¤¤ à¤”à¤° à¤¡à¤¾à¤¹ à¤°à¤¹à¥‡à¤—à¤¾ à¤ªà¤ªà¥à¤ªà¥‚ à¤œà¥€à¤•à¥à¤¯à¤¾ à¤•à¥à¤› à¤­à¥€ à¤¬à¥‹à¤²à¤¤à¥‡ à¤¹à¥‹,0
Your saying pappu is youngest man who becoming new prime minister of India,1
Jai ho modi ji again,0
See how Sonia is clapping. She didn't even realise uske bete ka mazak ban raha hai..LoL....yahi nateja hota hai jab hindi nahi aayyee ab tak isse. Samjhegi kaise.. lol.....Haha what a funny characters in Gandhi s,0
2019 BJP 400 Seats,0
rahul gandhi's  comedy show ðŸ˜ðŸ˜ðŸ¤£ðŸ¤£ðŸ¤—ðŸ¤—ðŸ¤—,0
only modi,0
Hm pm modi ka bahut samman krte hae pr gale milne ko lekar rahul ka majak ni udana chahia tha,1
Rahul Gandhi is great,1
Modi very bad,1
Rahul Gandhi zindabaad,1
Modi fraud,1
 Modi agai,0
Pappu saala fool h. .....,0
Modi thief hai,1
"Wen even i feel im worthless,good for nothing and moron.i look at rahul  nd i feel better",1
Rahul is a great man but modi fraud hai saala thief 15 lakh khaa gya .kisÃ ano ka kya hua berozgÃ aar students ka kya hua,1
Indian mr .bean,0
When he said i m pappu look at how our king is laughingðŸ˜ðŸ˜ðŸ˜,0
save tree save world save modi save India aankhi khol lo abhibhi waqt hai modi lao na apne aapko nachao na,0
"Ye congress to shaasak hai
Loktantrik nahi.
Agar ek beta kharab nikal gaya to aur koi accha leader nahi laate. Family succession chal raha hai .
Vote for modi",0
rahul  idiotðŸ‘ŒðŸ‘Œ,0
Rahul don't know how to speach tell to take twisne,0
akhoon ka khel....‚ modi ji got chill.....,0
Modi looks like a clown,1
ye dekh Lo thief  PM,1
