commentText,Label
Modi is future of India and it is a small trailer and I  real like this song😊😃🙏🙏,1
what? really? bhai saab. bjp really knows what reaches to the audience.,1
Banda sabse Best h ,1
"How's the josh
.......",1
Nice,1
Modi jindabad,1
Modi modi hai apna modi Best hai,1
Modiji rocks proud of Modiji,1
Namo again 2019 ,1
"Namo Again
BJP SUPPORTER
HIT 👍👍👍",1
"only modi jiii
jai hind",1
banda apna modi Best,1
Best he.,1
Always with modiji.........,1
Superb,1
He is very right Pm for india..so 10 cror likes for this song video..bcoz you tube pe ek baat like kar sakte hai .but yeah mujhe ek ko hi 10 cr ke likes samjh lena bhai..bcoz of har har modi or ghar ghar ghar modi..,1
Super,1
Modi again,1
Ur right bro💣,1
Superb yar..,1
2019 ME MODI again= INDIA THE BEST COUNTRY IN THE WORLD.,1
Jai modi again,1
Modi modi,1
"Ha Banda Apna Best hai.....Fir BJP Chahiye ....
Apna Time Ayega ... Modi Digital India banayega....",1
Namo again ,1
My favorite pm modi ji will be again to 2019,1
Modi love u,1
Best hai bhai,1
All the cogress supoters have disliked the video😂😂😂😂😂,1
Har har modi.   Namo again,1
best h,1
"Namo always.... 56inch ka seena
Jai hind",1
Dislikes from Muslims,0
modi is lion,1
superb bro,1
superbbb......banda apna Best hai..👍,1
Modi sir I salute you.......ye hai 56 inch,1
"Modi sir i wanna be like you🇮🇳❤️😍
You the best🇮🇳❤️",1
Dislikes from pappu  supporter,1
100% Best hai.,1
Distract  Congress 😂😂😂😂,1
"Vote for namo 2k19 why
BCoz बंदा apna सही hai..!",1
plz vote for BJp Modi ji 😞😞😞,1
Love you modi,1
Best hai,1
Once more har har modi ghar ghar modi,1
Best PM,1
Great,1
Just awesome,1
Amazing,1
No more modi 🙏🙏🙏banda Best iss liye hai election aa rhe hai,0
Banda Best hai,1
"I love Indian Army 🇮🇳 I love India

I Hate Pakistan Army I Hate Pakistan 👎😠",1
We want modi again,1
Ha bhai real me Best 😍 Love Modi,1
Bohot hard bohot hard,1
Hit like who wants modi ji comes again in 2019,1
Bahut solid song🇮🇳🇮🇳😍😍😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩,1
Banda ye apna Best hai...👌👌👌,1
Great song bro....👌👌👌,1
everything is possible with modi,1
best hai,1
Modi love 💕,1
Making of developing India = MODI,1
Modi ji is a real superhero,1
Amazing song! Truly captures the moment. I also LOVE the t-shirt - how can I get it??,1
Great,1
superb bro,1
Banda apna Best hai har har Modi ji,1
bilkul Best nahi ha,1
fake,0
After airstrike hit like button,1
Modi ..best actor award best marketing award,1
Modi again,1
Not bad actually .,1
Har har Modi NAMO AGAIN. #2019,1
Banda apana Best hai,1
Namo AgIn😍😍😍😍,1
"In love with this song....and as the youth of this country already admires pm modi, it would be even better if BJP could  provide the option to set it as caller tune.",1
1.1k dislike from Pakistan and pappu's fan😂😂,0
Bilkul Best hai jai hind,1
Awesome man... Modi Modi & only Modi...,1
NaMo again in 2019,1
Modi best,1
BJP fans hit like,1
"One like for today  airforce  attack on Pakistan 
Pakistan ne India ko surprise gift Diya to Narendra modi air Mai se bomb ki barsst karte huye return gift Diya hai",1
Banda apna Haiii...yarrrrr...vote for modi....🙏🙏🙏🙏🙏,1
You know a country is progressive when a political party releases a rap.,1
Banda Best hai 56 inch ka bhai har har modi ony,1
Namo again,1
Great dude 👍👍,1
better than carry's bye bye pewdiepie,1
Who is here after 300 terrorist killed,1
Modi is great,1
modi is hero vote only BJP,1
"Bhai Modi nai daya dekha natlo yea 2 surgical strike Mai navy, air force, army Ko  
Ak sath bhazta toh google map Mai Pakistan nahi milta",1
Congress making Diss track 😂😂😂,1
Brilliant boss's heads off to u,1
Bjp has worlds best social media marketing team. Following the rap trend to get votes 😂😂😂,1
"Modi modi modi modi mere liye sab hain main unka bhakt hoon aur ab duniya ho rahi hain jack ma, bill gates jaise log jiski badaayi kare jo ham youth ko saath saath lekar chale if these things can't make you happy then surely you are chamcha no doubt",1
"Vote goes only modi 
Like, who give vote to BJP party!!! 
👇👇👇👇",1
Modi is the best.we are with you,1
Modi modi modi,1
"Anyone after air strike?🙋
👇",1
Best and perfect song,1
Pls add this song in t-series.....who were agree pls give a like😇😇,1
vote for modiji .Banda apna Best hai,1
"Proud to be Indian ....
JAI BJP
JAI HIND 
BHARAT MATA KI JAY",1
Sach ma Banda apna Best Hai Jai Hind Jai Bharat🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,1
Awesome 👌👌👍👍,1
Banda Best he aap na,1
It was nice,1
hats off to you,1
Who come After india tv🤗🤗,1
Modi ji we r in deep trouble I bengal...do something for us.....,0
Awesome rap,1
Bandha hai apna !! Namo hai apna !!,1
Awesome,1
Namo Namo ❤🇮🇳🇮🇳🇮🇳,1
best,1
"Omg Best hai yaar....
Banda apna Best yaar....
Just awesome",1
Modi zindabad,1
Modi ko vote de....Agr desh ko bchana h to,1
Awesome 😍,1
Guys let's get this video trending 👍👍👍,1
"Good job guys ...
Jai Hind",1
Namo again again and again,1
Motivational song - all the best whole team,1
Super,1
Ek dm best Hai,1
MODI MAKES INDIA ones AGAIN SONEKAA CHIDIYA👍💐,1
super,1
BJP for more 15 to 20 years,1
Once again Modi Surkar,1
Banda apna Best h I love modi ji,1
"Modi modi modi Best hein na bhai, bohot hard bohot hard",1
Banda bilkul Best hai🇮🇳🇮🇳💯💯,1
Surgical strike 2 done thank you modi ji,1
That's right jai hind..😍 namo namo...modi jii,1
Awesome song,1
Namo again,1
Jumla Best hai,1
Good song,1
This is owesome man😀,1
Only modi,1
Pro level marketing..,0
NAMO AGAIN🇮🇳,1
"I love my India
I love my Modi Sir",1
"What a style to promote political leader!!!
Hats off",1
Namoooo again........,1
Namo modiji,1
Bjp,1
Awesome Rap,1
Banda apna Best hai!!!! True son of Indian soil,1
Love you modi ji...,1
561 dislikes from the peaceful community,0
Namo again,1
"Banda apna Best h,,,,,",1
Modi fake ha,0
Banda apna Best hai👍👍,1
Media buyer Best h👍,1
Nice,1
Great salute bro  first time its happened in india nice song on India's reality,1
awesome 😍,1
NaMo Once Again !!! ♥️,1
Best hai Modi is India best future,1
Excellent,1
"Our support hmare pm Narendra Modi 
Love you sir ji",1
👌rap.. Banda apna Best hair🙏,1
Great work banda apna Best he yrr,1
Modi Again,1
Namo again ❤️,1
😎 banda apna Best hae,1
Good,1
Namo again 19 how's the josh?,1
Abki baar Congress sarkar. Congress has done alot of sacrifice for the nation. Gandhi family is very down to earth and kind. Do vote for congress.,0
Awesome 😎😎,1
banda apna Best hi,1
only NAMO..,1
Super song,1
Namo always 🙏🙏,1
Namo again🚩🇮🇳,1
Great...namo namo Narayan...namo again and again,1
Unlike kerne wale papu h 🤣,1
How's the josh,1
Super,1
Namo again,1
"I'll still go for ..
WAAH MODIJI WAAH..
..
.
anyway modis 2014 campaign was awesome par is baar ye cartoon kaha se hire kar liya h..",1
Woooooooooooooioiiiooooooooooooooow guys ur all fabulous......umahhhhhhhhhhhhhhh ......love u brothers.....keeeeeeep it up,1
"vote for modi
vote for changes 💪",1
Mindblowing song,1
Nice song..,1
Best only Modi only Modi,1
"Banda apna Best hai job hi nhi deta-hahaha,,,,bande ko bolo interview de ravish ko tab mane banda Best hai",1
Omg didn't expect this🤔👍🙂❤️,1
Super. Jay Hind Jay Bharat,1
thief hai saala,1
Omg 😱😱😱😱😱 so goood,1
Dislike karne wale mulle hai,1
Excellent Rap for Mr.Right!! Namo Namo once again !! Jai Hind !,1
Namo Best hai 👍,1
"I am big fan of modiji.
But after Pulwama attack I realised even Modi can not solve Kashmir issue,we lost 44 Bravehearts,rahi bat vote ki ab to vote dunga hi Ni",1
NAMO again,1
Bnda apna best h,1
Banda apna Best hai.....modi modi...,1
Great Song,1
Namo again,1
Best hai again Modi ji,1
Best hein bhai.wooooio,1
Wwoww....I love my modi ji....I love this song........🚩🚩🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🚩🚩🚩🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🚩🇮🇳🚩🇮🇳🚩🇮🇳🚩🇮🇳🚩🇮🇳🚩🇮🇳🚩🇮🇳,1
Good,1
I belive on modi,1
Banda apna Best hain,1
100% banda apna Best hai,1
Fake PM sala,0
Say no to Modi at 2019,0
Im proud 2 say our pm is Modi ji 😍😘,1
Marketing Best ha😅,1
Pakaa Best hey bhai no doubt only youth can know his potential,1
NAMO AGAIN 💪,1
Namo Again,1
Superb,1
Ek no,1
nice song,1
Nice bro,1
YES BANDA APANA Best HAI,1
"Nice......,",1
Best he,1
Namo again,1
modi is historical p.m,1
Namo Again 2019 ✌,1
"Modi Modi Modi
Banda apna Best hai",1
Namo again 2019,1
Only Modi.....,1
Mind blowing,1
Awesome,1
"Modiji should stress on the fact that all vote to BJP will make him become PM, Our youngsters yet not aware about the Political Science",1
Banda sach me Best hai,1
bat Best hai,1
Wow yar....extraordinary video....love you Namo...i m from UAE but I love india....keep doing Modi Ji....,1
Banda apna Best h 🙏🙏🙏🙏🙏 nano,1
Again and again we want this man again. Ye Bharat ka asli veer he . Kyuke         .Banda apna Best he .yoooo vande matram Jai hind,1
Banda apna Best he,1
Great prime minister,1
"Yes..., Ppl should accept Modi bcz I saw many Development in Modi Era..❤❤❤",1
Best hai bahi,1
Nice,1
Jai jai modi ji again 2019,1
Best he only BJP,1
Best hai,1
banda apna Best he 🇮🇳🙏,1
Good song,1
"Best Hey... 
Banda Apna Best Hey... 
Namo Again... 
Jay Hind..",1
Namo again 😘😘 har har modi,1
Awesome yet,1
"Best prime minister ever serviced to India, SIR Prime Minister NARENDRA MODI is going to create the future of the nation, with growth in each and every sector, increasing GDP every year.
I bet he will be elected as the prime minister again and has potential to eradicate poverty..

Jai hind, vande matram
Jai PM MODI.",1
"Awesome
Banda Apna Best hai.
Aur Dil ko choone wala hai
Unno apna faraz nabaya hai
Aur apni baari hai faraz nabane ka",1
Nice  bhai,1
Love you modi,1
Only MAN OF DEVELOPMENT INDIA (MODI),1
Modi ji want revenge 😍😘,1
Best hain,1
Too good,1
great,1
Modi again and again🤘. hit like if u agree,1
Banda indeed apna Best hai,1
Superb,1
Love modi,1
Awesome...banda apna Best hai....mano again.,1
Namo no more!,0
Namo Again coming soon for 2019,1
Modi again,1
Oh I admire the ads of BJP.Full of impact.,1
Nice 😎,1
Nice Song,1
Yes boss ..ones again... Kyuki bnda apna sai h...,1
NiCe Love 💖💖💖💘👌👍👍👍👌🎤✍🏼✍🏼✍🏼🎤🎧🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👍🏼,1
Great bai,1
Salute sir ji,1
"Why so less views on the video.. Bjp team plzzz work on it and share it tremendously..
This is an awesome Creation",1
Friends request prime ministers to divide porkstan in to four pieces and people of India will make him prime minister for life .,1
Make it trending #1,1
Like the song banda apna best hai.Realy shi on tireless modi 24x7.God bless our  prime minister .,1
Amazing,1
Modi ji jindabad,1
Har har Modi ghar ghar Modi 🇮🇳🇮 .....abki Baar fr modi sarkar ...namo namo,1
"If india needs to be mature & progressive  country, populist leader must not be on thrones....",1
awesome,1
2019 modi,1
Best hain,1
Modi again,1
Always modii,1
Nice,1
Banda Best hai! Salute!,1
Again modi,1
"Best he,,,,,, jai hind",1
NamoAgain,1
What a song!...off course banda APANA Best HAI .....NAMO AGAIN,1
Modi Once again,1
Nice,1
You may be anti Modi or pro Modi but you just cannot ignore the honorable PM,1
All this is ok Mr. Modi but I will vote u only if you take revenge of Pulwama...Jai Hind,1
Some innovative way to target youth Modi sarkar always know how to do things in best possible way .,1
"Message to Modi Ji, Please fix the Kashmir issue once for all. 
After listening to the Modi Anthem.... All I can say  -------->
How's the Josh ! High Sir.... ! 

Like if it's high.",1
Banda Apna pure hai,1
Best Hai Bhai Best Hai....,1
Very nice each lines are truly said,1
NAMO again,1
Only modi ji ...banda apna Best ...,1
Obviously ..Banda apna beat hai.....,1
"Best hai, Best hai...Yeh banda apna Best hai.",1
I love modi ji,1
Namo again 🙏,1
Very nice,1
Best hai,1
Namo Namo . 2019,1
Namo  again,1
So good,1
Very nice...,1
Banda Best h,1
Banda Baut Hard he ❤️,1
Modi Jai Super,1
Awesomme,1
Good song.  Energetic.,1
Best song vote for MODI 2019,1
Gana bohot Best he,1
"How many of u watching after pulwama attack ??
and wants a big revenge...",1
Best hai!!,1
Only modi,1
NAMO AGAIN 🙏,1
Banda apna Best hai... Love you modi ji full support,1
respect from New York City. we love Modi and his supporters. Banda Apna Best Hai. Jai Hind.,1
"Rocky keep it up,great lyrics n music, only Namo 🙏",1
Why Best Banda needs such paid promotions before elections ? 😂😂😂,1
Banda bilkul best hai.....!!!!,1
Namo again,1
MODI Best Hai.. . AWESOME. .,1
wow super,1
Again pm modi again,1
Supereb,1
Awesome,1
Onily modi ji,1
"Awesome ❤️
Modi for India 🇮🇳",1
THE EXCELLENT & ˈsplɛndɪd  PRIME MINISTER & A HUMAN BEING . NAMO ALWAYS AGAIN.,1
Namo again.......,1
Super hit 👍🏻,1
Salute you from the core of my heart modi sir. You live for the nation like a true soldier.,1
Namo again,1
Coolest pm ever,1
woow very nice song,1
Vote for BJP 🚩🇮🇳🇮🇳,1
"We love our pm, bjp400+",1
Namo again,1
Modi ji you are great,1
namo again vote for bjp only,1
Banda apna Best hai...modi fir se..2019,1
Modi Best hai,1
Very right,1
Awesome.... impressive... dynamic promotion,1
Namo again 2019,1
"We have already reserved Prime minister  Modi ji for next 10 year.... 

BJP LAO desh bachao for  2019......",1
JAYA MAHAPRABHU LINGARAJA SON OF GOD SRI NARENDRA DAMODAR DAS MODI HE IS REAL HERO HE IS REAL WELL WISHER OF INDIA AND WORLD,1
We want NoMoAgain2019.....,1
Namo again,1
Modi Modi Modi,1
Modi ji great,1
Modi is the only hope for india..all others are dynast and corrupt..vote for modi 2019..make india great again..,1
NaMo again,1
"Modi lahar once again 
Kyoki BANDA Apna Best hai",1
har modi namo.. again..bro pls make more video..,1
Love you modiji proud of you,1
Banda Apna Mast hain,1
"On repeat,",1
Modi again,1
Leave a like IF U LOVE OUR BEST PRIME MINISTER MODHI,1
Namo Again,1
Song best h bhai.....i like.......but aadmi glt chuna apne,1
namo again,1
Bahot Best song nikala hai,1
Narendra Modi leads the right way...What a political party is BJP! Connecting with our vibes 😎,1
Namo again. Modi again.,1
Lusfrandus bro..awesome,1
Wow ....super,1
Modi is the best..,1
Namo Again in 2019...,1
Wow that's really a good one,1
MODIJI BEST PM,1
awesome sir,1
Modi ji Best pm,1
"Best prime minister best leader 
We salute you sir 
🙏🏽 
Lots of love",1
Apna pm Best h,1
Banda bht Best h yar...👍👍👍👍👍👍👍👍👍,1
Awesome.Jai Hind. Respect you Modi Ji direct Dilse.,1
Namo again,1
Omg awesome 😊 wat a Josh full song,1
Namo again,1
Best h 😁😁👍👍,1
best h,1
"Best hai, Best hai..
Banda apna Best hai...",1
Love u modiji....,1
Great,1
Modi no. 1,1
Only...Modi,1
Only BJP administration,1
Our Namo is cool ...pappu is Namakull..Modi Again 2019...kyunki Bandha Apna Best hai,1
a outstanding song.I prays you Mr.raper you set a new milestone of raping.rocking yaar har har modi.,1
Great song of India,1
Sir please do for wter bring weals is increse,1
NAMO AGAIN,1
Modified India.  Modified Song.,1
Wonderful,1
Superb...,1
Modi again,1
Namo again🙏🙏🙏,1
Banda Best hai,1
Killed it with style ❤️🔥🔥🔥🔫🔫,1
modi ji aap Best hai o ham jante hai,1
"Modi ji is alwz Great.. But Party Workers bhi Grounds par jakar kuchh kaam kar le.. Toh aur bhi Greatness. Next kayi varshon tak BHARAT aur World mai bni rahegi..
Kyunki Hakiqat mai Aisa ho nhi rha hai..
जय हिंद, वन्दे मातरम् 👍",1
Mr Modi please stop playing Dirty politics with Indian Image.....,1
Ever great Indian PM ... salute,1
I have not seen a so simplistic human being in my life. I am 58 seen more Indian PM before.,1
Congress need to learn.,1
Modi will take India towards great height. U r a man.,1
"India need to be strong need to elect him, if you guy's  do not elect him, we will go back by 50 years.",1
"Mr. Modi is a more simplistic person, All other leaders want increasing their wealth and bringing their kids to power specially in South India Mr. KTR from TRS, Mr. Lokesh from TDP, this is what we want. Mr. Modi is right PM for next few years to clean our nation.",1
Powerful words. Heartfelt words.,1
What an awesome speech Modiji!!!  You have my vote!!,1
Don't support modi only in comment section if you really want to help then vote him in upcoming loksabha election 🙏🙏,1
"MODIJIs 1st LAW OF MOTION - 
ACTION  & REACTION to CORRUPTION is DEPENDENT ON MAGNITUDE of CORRUPTION.
2nd LAW of MOTION -  TERRORISM & DENASTY LOOTING are MADE FOR EACH OTHER.",1
"We Are Luck To Prime Minister Like Narender Modi...
Dear PM I Want To Meet U...How Can I....",1
Great speech,1
"Well done.......MODI JI.....👌👌👌👌
400 SEAT TAY",1
Such a great prime minister,1
We feel honer that we have prime minister like modi ji,1
My vote goes to Modi.  😀🇮🇳,1
Great speech our Prime Minister Narendra Modiji.,1
Logo k itne jyda expitation umeed bhar gaye h apne PM say k ab sb new india k demand h . All most sab me nationalism k full feelings h india me unity h full. 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💪💪💪✌✌,1
Why I am followed. I'm not terrorists I am true Indian. & committed to my country.modiji I hope you will take action against the people who are embarrassing me.,1
MODI 🇮🇳 MODI 🇮🇳 MODI 🇮🇳,1
Only for Modi sarkar,1
"All you people pl    Do something more to bring modiji again for national devolopment,if you want .",1
modi  ji   des  ke  ak  greatest   Leader   aur   ak  greatest   PM   hai  modi  ji  jaisa  koi  nahi  bharat  mata  ki  jay  vande  mataram,1
Great,1
Great and strong Prime Minister of India.,1
Great thanks,1
MODIJI YOU WILL BE PM AGAIN,1
Great PM . Jai Hind,1
The best prime minister,1
Keep doing your work people of India is with you jai hind,1
Best pm and NEXT PM,1
Great,1
"This is what our country needs... Respect sir... Don't know or can't say about others, as they have their own Views or Intrest... 
We ""Our Family Support You"".. 

Jai Hind🇮🇳🇮🇳.. Our nation will prosper with your support.🙏🙏",1
modi jii is great pm..har har modi,1
Every Indians proud - PM like Modi and donkey like Rahul.,1
Our PM Modi is a patriot of India,1
Modi 2019,1
I request BJP to ask a share same stage Modi ji with rahul gandhi..let them show the power of modi,1
MODI is a Great Leader of Indian Democracy and Best P.M. of INDIA .,1
Only.. modi modi...2019 bjp bjp bjp bjp bjp....modi,1
Modiji is honest and best leader,1
Great leader of India ever in history of Indian politics,1
Best p m,1
I proud of my .PM,1
Rahul gandi is next PM,0
GREAT INDIA and GREAT MODI .,1
GREAT PRIME MINISTER  MODI  (2014 TO 2024),1
Great prime minister of india💗💗we all are always with you modi jii🙏🙏,1
Only modi,1
Vote for Modi ji,1
"We want only modi 
MODI he to mumkeen hain",1
Narendra Modi is only hope of developing India,1
Only for bjp,1
Modi is great,1
"Dear sir, kindly think about contractual employees future in the state if Odisha.  Lots of employees r getting benefited.",1
"Bharath Mata ki Jai
Vanda Mataram
Jai Jawan
Jai Kishan
Jai BJP",1
Only Namo Namo,1
Har har modi ghar ghar modi.  Vote for modi jii,1
Modi modi modi modi,1
Modi even your deputy minister of UP an accident can you please comment on that.....also talk about the jobs.....the worst pm of India...,0
Selfish leader like soumya,0
Youth of Odisha got frustrate because of bjp government,0
cheap bjp au bjp,0
Its the tym for change the govt of odisha....,1
Welcome to BJP.we hope that you can boost the party.,0
You will be the next cm of odisha . Respect,1
hate BJp,0
Bjd is more dangerous than  aids virus,0
Right choice,1
Welcome,1
Best decision sir .,1
Very good,1
All the politicians are b******.,0
"Welcome Sir, let’s kick out worst BJD. They screwed up entire economy and made poor state. We are with you and let’s clean the BJP.",0
BJP jindabad....welcome....,1
Congress looted the Country for >5decades. AAP by trying to align with Congress proves it is not against corruption but only against BJP.  Modiji with clean image will sweep the 2019 polls,1
Only modi..,1
Bilkul sir. Ap hi jitoge. We dont wat fraud party again 😊😊,1
hate you modi,0
I request to all news channel A big mistake made in the results of RRB Group D how it's possible,1
Looks like Terrorist Modi will make hindu fool again and enjoy power with Amabani..even if war start with Pakistan and so many dies who cares ....wow India is becoming a fanatic country world should re think investing India further....its not a safe country anymore ...u will b killed for what u eating even armed police officer who will follow law not fanatic Hindus will b killed in day light ...and crowd will clap and dance ...Hindu Taliban is on the rise ..India is going down,0
Only BJP,1
Modi ji only,1
Only modi ji,1
shameless BJP,0
Vote business development Pvt Ltd company BJP ... Marey huye Sohid Jawan k upor bhi rajneeti Kartey hai ..cheapest party of India,0
All are unemployed and useless brain on road with flag,0
BJP fail,0
Now everything clear .all film making by BJP because of election  and our 45 jawan shaheed in kashmir even daily we lost our jawan .,0
BJP worst party .. Anti national party . Modi hatao Desh bachalo.,0
Go back Fake baba,0
" plz don�t vote for bjp vote mat dena ye party sirf apni parvha krti hai 
isko desh se koi matlab nhi hai 
Jaago plz Jaago",0
This war for election,0
Chokidaar thif  hai,0
"Modi duniya ka sab se bada fake hai.
Is ne elections keliye jawano ki laashe bhicha diye",0
fake desh bhakt,0
Modi fake no 1😄😄,0
"Those WAR mongers and celebrations from the likes of Manoj Tiwari and unfortunately the prime minister must know that WAR kills,wounds people and politicians of the ruling party cheer in hiding.
The agenda of destabilizing Kashmir in the last 5 years is a reality. All the more reason that this duo of Modi and Shah must go and people should make a choice between War & Peace before they vote in the next election",0
Star rating zero,0
sattha say sawal karna hi desh prem hai. woh congresses ho ya bjp ho ya 3rd front ho,0
Chokidar desh ka gaddar hai,0
"people are not fool ,2019 me jawab degi kitna rozgaar diya aur kitni mehngai kam ki h paanch saal me janta bhoolegi nhi sb yaad h intezaar h 2019 nai sarkar ka",0
this type of thought is the cause of slavery .it's unfortunate for Indian people. opposition is demoralizing the Indian army. it's not jobs of army to count the dead body of terrorist. modi is super leader of Hindustan. D.Upadhyay azamgarh,0
indian people why not you select an educated PM?,0
bjp out,0
"Rashtravad or nationalism  is for rashtra or a nation, not for a person.
56"" is afraid of press conference and of facing tough questions from real journalists at home and abroad.
Shivsena is also asking for a source of casualities and a source  of 300 kg RDX. So SS is pro- Pakistan and anti-national and will weaken BJP's attack on opposition.
Indira and Vajpayee did not encash  their success for votes in a such shameful manner.",0
go back Bjp,0
janta itni fool nahi hai modi ki kehkar legi,0
only Rahul Gandhi p.m. next,0
go back modi,0
Political parties are on their lowest level,0
BJP wants vote,0
Inshallah Rahul Gandhi will our next P.M.,0
Nationalism ko becha ja rha hai in every field even politics boluwood,0
support Congres lawo Desh bachwoo,0
Ye channel wale bekaar muddaun par debate kararahe hein. Where is development . Samvidhan aur democracy bachao EVM aur BJP ko bhagao.,0
sneaky  hai modi,0
